BOROUGH,BUILDING_CLASS,RESIDENTIAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,TAX_CLASS,SALE_PRICE,AGE,STORIES
MANHATTAN,TWO-FAMILY HOME,2,1686,3416,Class 1,2450000,11.715.834,2
MANHATTAN,TWO-FAMILY HOME,2,1799,3600,Class 1,1670000,118.182.998,2
MANHATTAN,TWO-FAMILY HOME,2,1799,3600,Class 1,1310000,117.952.861,2
MANHATTAN,TWO-FAMILY HOME,2,1749,2625,Class 1,850000,107.306.286,2
MANHATTAN,TWO-FAMILY HOME,2,1599,3200,Class 1,2000000,118.010.395,2
MANHATTAN,TWO-FAMILY HOME,2,1472,3400,Class 1,1550000,115.802.176,2
MANHATTAN,TWO-FAMILY HOME,2,1499,3000,Class 1,1625000,118.377.519,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1699,2852,Class 1,1980000,116.782.998,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1699,2646,Class 1,2390000,107.681.628,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1699,3400,Class 1,1925000,10.755.834,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1699,3400,Class 1,1700000,107.117.245,2
MANHATTAN,TWO-FAMILY HOME,2,1682,3000,Class 1,424797,118.235.053,2
MANHATTAN,OVER-THREE FAMILY HOME,3,2018,3680,Class 1,1533000,116.656.971,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1968,3420,Class 1,2100000,117.782.998,2
MANHATTAN,TWO-FAMILY HOME,2,1582,3108,Class 1,2036500,118.128.203,2
MANHATTAN,TWO-FAMILY HOME,2,1499,2340,Class 1,1150000,117.804.916,2
MANHATTAN,TWO-FAMILY HOME,2,1649,2796,Class 1,1700000,116.550.121,2
MANHATTAN,TWO-FAMILY HOME,2,1249,2640,Class 1,2420000,116.706.286,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1665,3334,Class 1,2400000,107.029.573,2
MANHATTAN,TWO-FAMILY HOME,2,1599,2500,Class 1,1700000,117.528.203,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1799,3300,Class 1,2350000,107.103.546,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1704,2592,Class 1,816425,116.678.888,2
MANHATTAN,TWO-FAMILY HOME,2,1600,2304,Class 1,940000,116.089.847,1
MANHATTAN,TWO-FAMILY HOME,2,1667,2544,Class 1,911460,11.826.519,2
BRONX,TWO-FAMILY HOME,2,2265,2394,Class 1,530000,22.103.539,1
BRONX,TWO-FAMILY HOME,2,1556,1494,Class 1,305000,118.646.012,1
BRONX,TWO-FAMILY HOME,2,1800,1944,Class 1,500000,107.103.546,1
BRONX,TWO-FAMILY HOME,2,1429,1872,Class 1,250000,106.950.121,1
BRONX,TWO-FAMILY HOME,2,3732,2901,Class 1,494000,16.755.594,1
BRONX,TWO-FAMILY HOME,2,1258,2340,Class 1,240000,115.947.382,2
BRONX,TWO-FAMILY HOME,2,1712,1580,Class 1,200000,116.599.436,1
BRONX,TWO-FAMILY HOME,2,1420,2805,Class 1,290000,115.996.697,2
BRONX,TWO-FAMILY HOME,2,1420,2805,Class 1,165000,115.747.382,2
BRONX,OVER-THREE FAMILY HOME,3,1440,2880,Class 1,365000,118.454.231,2
BRONX,OVER-THREE FAMILY HOME,3,1784,2302,Class 1,545000,1.279.395,1
BRONX,OVER-THREE FAMILY HOME,3,1650,1344,Class 1,321065,107.309.025,1
BRONX,OVER-THREE FAMILY HOME,3,1650,3316,Class 1,600000,12.243.265,2
BRONX,OVER-THREE FAMILY HOME,3,1250,2730,Class 1,460000,14.046.005,2
BRONX,TWO-FAMILY HOME,2,1900,2125,Class 1,340000,72.311.758,1
BRONX,TWO-FAMILY HOME,2,2691,2842,Class 1,334000,14.204.909,1
BRONX,TWO-FAMILY HOME,2,2375,1810,Class 1,435000,96.782.991,1
BRONX,TWO-FAMILY HOME,2,2709,2400,Class 1,585000,118.656.971,1
BRONX,TWO-FAMILY HOME,2,2709,2400,Class 1,260000,118.185.738,1
BRONX,TWO-FAMILY HOME,2,2850,2110,Class 1,588000,66.972.032,1
BRONX,TWO-FAMILY HOME,2,932,2031,Class 1,470000,10.481.621,2
BRONX,TWO-FAMILY HOME,2,2850,3300,Class 1,613600,107.467.929,1
BRONX,TWO-FAMILY HOME,2,2500,2187,Class 1,372000,62.533.676,1
BRONX,TWO-FAMILY HOME,2,2000,2499,Class 1,344760,66.807.648,1
BRONX,TWO-FAMILY HOME,2,2658,1976,Class 1,535000,87.013.128,1
BRONX,TWO-FAMILY HOME,2,2056,2195,Class 1,215000,87.276.142,1
BRONX,TWO-FAMILY HOME,2,2500,2160,Class 1,384000,97.541.895,1
BRONX,TWO-FAMILY HOME,2,2500,2160,Class 1,431379,96.859.703,1
BRONX,TWO-FAMILY HOME,2,2642,1722,Class 1,529000,67.607.648,1
BRONX,TWO-FAMILY HOME,2,2642,1722,Class 1,276000,67.204.909,1
BRONX,TWO-FAMILY HOME,2,2000,2385,Class 1,285000,67.536.416,1
BRONX,TWO-FAMILY HOME,2,2300,1762,Class 1,620000,87.656.963,1
BRONX,TWO-FAMILY HOME,2,1800,1260,Class 1,523000,67.424.087,1
BRONX,TWO-FAMILY HOME,2,4250,3073,Class 1,545700,87.341.895,1
BRONX,TWO-FAMILY HOME,2,1920,2585,Class 1,515000,4.709.532,1
BRONX,TWO-FAMILY HOME,2,2500,2280,Class 1,490000,62.361.073,1
BRONX,TWO-FAMILY HOME,2,2500,2040,Class 1,615000,9.229.566,1
BRONX,TWO-FAMILY HOME,2,2500,2040,Class 1,599000,8.982.991,1
BRONX,TWO-FAMILY HOME,2,2522,1568,Class 1,371600,67.037.785,1
BRONX,TWO-FAMILY HOME,2,2424,2058,Class 1,575000,10.2871,1
BRONX,TWO-FAMILY HOME,2,2375,1520,Class 1,466000,107.382.998,1
BRONX,TWO-FAMILY HOME,2,2375,1558,Class 1,338000,96.821.347,1
BRONX,TWO-FAMILY HOME,2,1853,1596,Class 1,377000,56.763.813,1
BRONX,TWO-FAMILY HOME,2,1895,1800,Class 1,218500,67.596.689,1
BRONX,TWO-FAMILY HOME,2,1900,1800,Class 1,480000,66.856.963,1
BRONX,TWO-FAMILY HOME,2,2477,1584,Class 1,599000,6.239.121,1
BRONX,TWO-FAMILY HOME,2,2700,2880,Class 1,520000,57.533.676,1
BRONX,TWO-FAMILY HOME,2,3420,3327,Class 1,620000,57.330.936,1
BRONX,TWO-FAMILY HOME,2,1895,2310,Class 1,610000,5.749.532,1
BRONX,TWO-FAMILY HOME,2,1895,2310,Class 1,349830,57.004.909,1
BRONX,TWO-FAMILY HOME,2,2518,2497,Class 1,457000,13.136.416,1
BRONX,TWO-FAMILY HOME,2,1900,1665,Class 1,489853,13.580.251,1
BRONX,TWO-FAMILY HOME,2,1900,2500,Class 1,302000,56.977.511,1
BRONX,TWO-FAMILY HOME,2,1900,1800,Class 1,480000,67.382.991,1
BRONX,TWO-FAMILY HOME,2,2375,1867,Class 1,480000,12.878.881,1
BRONX,TWO-FAMILY HOME,2,1868,2351,Class 1,472500,56.835.046,1
BRONX,TWO-FAMILY HOME,2,2375,2040,Class 1,605000,1.358.847,1
BRONX,TWO-FAMILY HOME,2,2516,3201,Class 1,560000,11.374.772,1
BRONX,TWO-FAMILY HOME,2,2912,3105,Class 1,550000,11.073.402,1
BRONX,TWO-FAMILY HOME,2,2500,2080,Class 1,150000,92.322.717,1
BRONX,TWO-FAMILY HOME,2,3840,2245,Class 1,382500,42.456.963,1
BRONX,TWO-FAMILY HOME,2,2020,1051,Class 1,599000,91.728.196,1
BRONX,TWO-FAMILY HOME,2,2425,2800,Class 1,565000,57.196.689,1
BRONX,TWO-FAMILY HOME,2,1936,1894,Class 1,304500,66.952.854,1
BRONX,TWO-FAMILY HOME,2,1643,1792,Class 1,150000,67.246.005,1
BRONX,TWO-FAMILY HOME,2,2088,2200,Class 1,475000,19.862.443,1
BRONX,TWO-FAMILY HOME,2,2986,2800,Class 1,240000,52.706.279,1
BRONX,TWO-FAMILY HOME,2,2640,1890,Class 1,575000,53.010.388,1
BRONX,TWO-FAMILY HOME,2,1995,2714,Class 1,540000,52.470.662,1
BRONX,TWO-FAMILY HOME,2,2208,1296,Class 1,365000,77.350.114,1
BRONX,TWO-FAMILY HOME,2,1800,1701,Class 1,450000,60.448.744,1
BRONX,TWO-FAMILY HOME,2,1581,2166,Class 1,355000,21.078.881,1
BRONX,TWO-FAMILY HOME,2,3166,2166,Class 1,382785,21.202.169,1
BRONX,TWO-FAMILY HOME,2,3263,2270,Class 1,226726,18.662.443,1
BRONX,TWO-FAMILY HOME,2,2590,2270,Class 1,540000,1.869.532,1
BRONX,TWO-FAMILY HOME,2,1950,2166,Class 1,533667,21.248.744,1
BRONX,TWO-FAMILY HOME,2,1195,1683,Class 1,425000,5.648.984,1
BRONX,TWO-FAMILY HOME,2,3300,1649,Class 1,470000,92.281.621,1
BRONX,TWO-FAMILY HOME,2,2500,1488,Class 1,275000,91.919.977,1
BRONX,TWO-FAMILY HOME,2,4200,1374,Class 1,427000,91.936.416,1
BRONX,TWO-FAMILY HOME,2,2026,1672,Class 1,308000,58.333.676,1
BRONX,TWO-FAMILY HOME,2,1710,1672,Class 1,410000,58.032.306,1
BRONX,TWO-FAMILY HOME,2,1710,1697,Class 1,408000,5.849.532,1
BRONX,TWO-FAMILY HOME,2,5000,2000,Class 1,535000,87.541.895,1
BRONX,TWO-FAMILY HOME,2,2625,1775,Class 1,459000,65.826.826,1
BRONX,TWO-FAMILY HOME,2,2758,3105,Class 1,232750,59.843.265,1
BRONX,TWO-FAMILY HOME,2,2323,1734,Class 1,499000,52.410.388,1
BRONX,TWO-FAMILY HOME,2,1877,1831,Class 1,425000,62.243.265,1
BRONX,TWO-FAMILY HOME,2,2185,2940,Class 1,599000,62.418.607,1
BRONX,TWO-FAMILY HOME,2,2185,2940,Class 1,375000,61.898.059,1
BRONX,TWO-FAMILY HOME,2,2500,2520,Class 1,546000,77.347.374,1
BRONX,TWO-FAMILY HOME,2,2500,2112,Class 1,328000,92.246.005,1
